['28097', 'irasutoya.com', '-2']
['28203', 'dida365.com', '-2']
['28427', 'admaster.com.cn', '-2']
['28632', '5d6d.com', '-2']
['28709', 'e21.cn', '-2']
['28794', 'blinkweb.com', '-2']
['28980', 'trackingmore.com', '-2']
['28996', 'pusku.com', '-2']
['29230', 'kaffnet.com', '-2']
['29371', 'portablesoft.org', '-2']
['29398', 'virtual.edu.az', '-2']
['29442', 'wzfx8.com', '-2']
['29460', 'nvidia.cn', '-2']
['29485', 'theadvertiser.com', '-2']
['29604', 'chiba.lg.jp', '-2']
['29607', 'youlai.cn', '-2']
['29695', 'sxfuyifang.com', '-2']
['29718', 'mendoza.edu.ar', '-2']
['29941', 'petralene.com', '-2']
['29986', 'blogcatalog.com', '-2']
['30010', 'webnovel.com', '-2']
['30020', 'jnjmedicaldevices.com', '-2']
['30766', 'myeducationalshop.com', '-2']
['30932', 'zzidc.com', '-2']
['31068', 'iplaysoft.com', '-2']
['31080', 'nyud.net', '-2']
['31098', 'arkay.se', '-2']
['31186', '17k.com', '-2']
['31325', 'cma.org.cn', '-2']
['31356', 'onlinepharmacyero.com', '-2']
['31517', 'davefancella.com', '-2']
['31544', 'gitee.io', '-2']
['31642', 'webportal.top', '-2']
['31748', 'xn--jj0bp1qb8bjscd6m6thtsv4xd.kr', '-2']
['32101', '59744.com', '-2']
['32132', 'haote.com', '-2']
['32139', 'guiguanrc.com', '-2']
['32500', 'jiaoshi.com.cn', '-2']
['32504', 'rdio.com', '-2']
['32602', 'menpan.go.id', '-2']
['32639', 'bigfunapp.cn', '-2']
['32789', 'tuling123.com', '-2']
['32805', 'sanguosha.com', '-2']
['32811', 'readnovel.com', '-2']
['33033', '3618med.com', '-2']
['33318', 'safety.com.cn', '-2']
['33386', 'cnta.gov.cn', '-2']
['33422', 'phillyburbs.com', '-2']
['33451', 'soundai.cn', '-2']
['33504', 'zwire.com', '-2']
['33506', 'faceu.mobi', '-2']
['33508', 'picsee.io', '-2']
['33818', 'odns.fr', '-2']
['33858', 'pgzs.com', '-2']
['33860', 'pbtxt.com', '-2']
['34267', '79.com', '-2']
['34386', '98youx.com', '-2']
['34391', 'yeezyboost.com.co', '-2']
['34709', 'zk168.com.cn', '-2']
['34902', 'electronista.com', '-2']
['34963', 'codesec.net', '-2']
['35086', 'guncelgiris.top', '-2']
['35177', 'lapin365.com', '-2']
['35235', 'hizbo.com', '-2']
['35342', 'buzzbreak.xyz', '-2']
['35489', 'traction.tools', '-2']
['35510', '199cr.com', '-2']
['35523', 'arrakis.es', '-2']
['35545', 'lanyrd.com', '-2']
['35819', 'sodao.com', '-2']
['35912', 'at-lib.com', '-2']
['35956', '7kk.com', '-2']
['36038', 'jijimao888.com', '-2']
['36099', 'trueart.com', '-2']
['36160', 'tuomao123.com', '-2']
['36278', 'coolapk.com', '-2']
['36330', 'douguo.com', '-2']
['36334', '4u77.com', '-2']
['36342', 'pdxst.com', '-2']
['36399', '1xiaoshuo.com', '-2']
['36424', 'device-checkup-now.com', '-2']
['36460', 'cnbanbao.cn', '-2']
['36549', 'lianwangtech.com', '-2']
['36612', 'huizhou.gov.cn', '-2']
['36630', 'mingrenziliao.com', '-2']
['36702', 'gxeea.cn', '-2']
['36929', 'nfdaily.cn', '-2']
['36930', 'bxwx9.org', '-2']
['36950', '102tv.cn', '-2']
['36999', 'cmmov.com', '-2']
['37121', 'gog.cn', '-2']
['37132', 'sctv.com', '-2']
['37283', 'palebluedotdesigns.com', '-2']
['37389', 'zhihujingxuan.com', '-2']
['37439', 'somao123.com', '-2']
['37557', 'phb123.com', '-2']
['37598', 'yuloo.com', '-2']
['37620', 'biodiscover.com', '-2']
['37621', 'fancykeyapp.com', '-2']
['37643', 'dijiuke.com', '-2']
['37715', 'jmys168.com', '-2']
['37749', 'banyungong.org', '-2']
['37835', 'nwafu.edu.cn', '-2']
['37935', 'cas.ac.cn', '-2']
['38055', 'fjkjks.com', '-2']
['38212', 'mak.ac.ug', '-2']
['38224', 'jitatang.com', '-2']
['38275', 'yiso.com.cn', '-2']
['38391', 'ibook8.com', '-2']
['38556', 'go2s.co', '-2']
['38582', 'muzisoft.com', '-2']
['38742', 'finnishdesignshop.com', '-2']
['38780', 'go2.cn', '-2']
['38812', 'liangao.com', '-2']
['38959', 'takara-ramen.com', '-2']
['38962', 'eyrolles.com', '-2']
['38986', 'nagano.lg.jp', '-2']
['39013', 'laoda.info', '-2']
['39163', 'b08.com', '-2']
['39172', 'iwjw.com', '-2']
['39297', 'qj.com.cn', '-2']
['39341', 'mobile-productplace.net', '-2']
['39358', 'wowdoge.io', '-2']
['39402', 'yuhedata.com', '-2']
['39553', 'lifanr.com', '-2']
['39570', 'bbpresschina.com', '-2']
['39705', 'abak24.eu', '-2']
['39791', 'mohe.gov.my', '-2']
['39797', 'changlaifan.com', '-2']
['39852', 'epocrates.com', '-2']
['40015', 'site50.net', '-2']
['40091', 'aceona.com', '-2']
['40103', 'adups.cn', '-2']
['40125', 'elpalaciodehierro.com', '-2']
['40213', 'gameabc.com', '-2']
['40284', 'netai.net', '-2']
['40342', 'zhuaxia.com', '-2']
['40398', '163sub.com', '-2']
['40575', 'qqtn.com', '-2']
['40605', '517zhumeng.com', '-2']
['40784', 'upan.cc', '-2']
['40843', 'cditv.cn', '-2']
['40871', 'campuschina.org', '-2']
['41000', 'dazizhuanqian.net', '-2']
['41110', 'free-tv-video-online.me', '-2']
['41122', 'shui5.cn', '-2']
['41153', 'fdzs27.com', '-2']
['41179', 'url.ph', '-2']
['41209', 'zip.net', '-2']
